123,  1.050963,  1.048220
124,  1.004313,  0.997530
125,  0.956414,  0.950119
126,  0.910743,  0.910818
127,  0.869387,  0.876228
128,  0.833268,  0.840630
129,  0.802381,  0.804757
130,  0.776007,  0.774101
131,  0.752966,  0.750602
132,  0.731924,  0.730982
133,  0.711727,  0.711566
134,  0.691683,  0.691825
135,  0.671748,  0.672861
136,  0.652640,  0.654975
137,  0.635941,  0.638223
138,  0.624249,  0.624870
139,  0.621204,  0.620096
140,  0.630916,  0.629523
141,  0.656368,  0.656188
142,  0.697366,  0.699177
143,  0.749925,  0.753297
144,  0.808058,  0.810895
145,  0.866325,  0.866567
146,  0.921143,  0.919272
147,  0.970719,  0.969221
148,  1.014423,  1.014807
149,  1.052204,  1.053543
150,  1.084218,  1.085126
151,  1.110668,  1.111253
152,  1.131784,  1.132605
153,  1.147901,  1.148696
154,  1.159582,  1.159650
155,  1.167774,  1.166986
156,  1.173954,  1.173070
157,  1.180189,  1.179766
158,  1.188916,  1.188399
159,  1.202192,  1.201060
160,  1.220445,  1.219411
161,  1.241186,  1.241683
162,  1.258763,  1.261392
163,  1.266286,  1.269234
164,  1.258944,  1.259231
165,  1.235924,  1.233457
166,  1.199665,  1.197999
167,  1.153978,  1.156550
168,  1.102639,  1.109096
169,  1.048778,  1.054667
170,  0.994755,  0.995441
171,  0.942235,  0.937582
172,  0.892280,  0.886427
173,  0.845406,  0.842544
174,  0.801591,  0.802972
175,  0.760280,  0.764387
176,  0.720531,  0.724754
177,  0.681399,  0.683429
178,  0.642465,  0.641278
179,  0.604178,  0.600699
180,  0.567762,  0.564229
181,  0.534886,  0.532930
182,  0.507477,  0.507121
183,  0.487817,  0.488423
184,  0.478731,  0.479825
185,  0.483538,  0.484304
186,  0.505308,  0.504684
187,  0.545260,  0.543413
188,  0.601152,  0.599944
189,  0.667339,  0.668202
190,  0.736852,  0.738788
191,  0.803747,  0.804704
192,  0.864109,  0.863743
193,  0.915841,  0.915518
194,  0.958028,  0.958274
195,  0.990449,  0.990095
196,  1.013370,  1.011935
197,  1.027499,  1.026156
